iter	Passed	Remaining
738	7850	2772
739	7859	2761
740	7869	2750
741	7879	2739
742	7889	2728
743	7899	2717
744	7909	2707
745	7919	2696
746	7931	2686
747	7943	2676
748	7954	2665
749	7965	2655
750	7975	2644
751	7985	2633
752	7996	2622
753	8006	2612
754	8016	2601
755	8026	2590
756	8035	2579
757	8048	2569
758	8059	2559
759	8069	2548
760	8081	2537
761	8092	2527
762	8102	2516
763	8113	2506
764	8123	2495
765	8132	2484
766	8143	2473
767	8152	2462
768	8162	2451
769	8172	2441
770	8182	2430
771	8193	2419
772	8203	2409
773	8214	2398
774	8224	2387
775	8233	2376
776	8244	2366
777	8255	2355
778	8267	2345
779	8278	2335
780	8290	2324
781	8301	2314
782	8310	2303
783	8322	2292
784	8331	2281
785	8342	2271
786	8354	2261
787	8364	2250
788	8375	2239
789	8385	2229
790	8395	2218
791	8404	2207
792	8416	2197
793	8427	2186
794	8437	2175
795	8448	2165
796	8457	2154
797	8468	2143
798	8478	2132
799	8488	2122
800	8498	2111
801	8509	2100
802	8520	2090
803	8529	2079
804	8539	2068
805	8549	2057
806	8559	2046
807	8568	2036
808	8577	2025
809	8588	2014
810	8597	2003
811	8608	1993
812	8618	1982
813	8628	1971
814	8638	1960
815	8650	1950
816	8661	1940
817	8672	1929
818	8685	1919
819	8696	1908
820	8707	1898
821	8717	1887
822	8727	1877
823	8737	1866
824	8748	1855
825	8759	1845
826	8769	1834
827	8779	1823
828	8791	1813
829	8800	1802
830	8810	1791
831	8821	1781
832	8833	1770
833	8843	1760
834	8853	1749
835	8864	1738
836	8876	1728
837	8886	1717
838	8896	1707
839	8908	1696
840	8920	1686
841	8932	1676
842	8943	1665
843	8954	1655
844	8964	1644
845	8977	1634
846	8987	1623
847	8999	1613
848	9009	1602
849	9019	1591
850	9030	1581
851	9041	1570
852	9051	1559
853	9062	1549
854	9073	1538
855	9083	1528
856	9094	1517
857	9103	1506
858	9114	1496
859	9125	1485
860	9136	1474
861	9146	1464
862	9156	1453
863	9167	1443
864	9178	1432
865	9188	1421
866	9198	1411
867	9209	1400
868	9220	1390
869	9231	1379
870	9242	1368
871	9253	1358
872	9262	1347
873	9272	1336
874	9282	1326
875	9292	1315
876	9302	1304
877	9312	1293
878	9322	1283
879	9332	1272
880	9342	1261
881	9352	1251
882	9364	1240
883	9375	1230
884	9386	1219
885	9398	1209
886	9408	1198
887	9419	1188
888	9429	1177
889	9439	1166
890	9450	1156
891	9460	1145
892	9471	1134
893	9481	1124
894	9492	1113
895	9502	1102
896	9512	1092
897	9524	1081
898	9533	1071
899	9544	1060
900	9554	1049
901	9565	1039
902	9575	1028
903	9587	1018
904	9597	1007
905	9606	996
906	9616	986
907	9626	975
908	9635	964
909	9647	954
910	9659	943
911	9670	933
912	9680	922
913	9690	911
914	9701	901
915	9710	890
916	9720	879
917	9730	869
918	9740	858
919	9749	847
920	9760	837
921	9770	826
922	9780	815
923	9791	805
924	9801	794
925	9812	784
926	9822	773
927	9833	762
928	9843	752
929	9854	741
930	9864	731
931	9873	720
932	9884	709
933	9894	699
934	9906	688
935	9919	678
936	9930	667
937	9941	657
938	9952	646
939	9962	635
940	9973	625
941	9983	614
942	9994	604
943	10004	593
944	10015	582
945	10026	572
946	10037	561
947	10049	551
948	10059	540
949	10069	529
950	10081	519
